candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H8AZ09016,"BARONESS VON BEHR, IRINA",REP,AZ,9,"{2018,2020}",IRINA BARONESS VON BEHR FOR US CONGRESS,C00634337
H8AZ09024,"FERRARA, STEVE MD",REP,AZ,9,{2018},STEVE FERRARA FOR CONGRESS,C00640268
H8AZ09032,"LEIBSOHN, SETH MR.",REP,AZ,9,"{2018,2020}",SETH LEIBSOHN FOR CONGRESS,C00656603
H8AZ09040,"STANTON, GREG",DEM,AZ,9,"{2018,2020}",STANTON FOR CONGRESS,C00657304
H8AZ09057,"MENOR, SCOTT A",DEM,AZ,5,{2018},COMMITTEE TO ELECT SCOTT MENOR,C00657403
H8AZ09065,"ARAUJO, HECTOR MR.",DEM,AZ,9,"{2018,2020}",HECTOR FOR ARIZONA,C00676015
H8CA01190,"HOLCOMBE, JESSICA JONES",DEM,CA,1,{2018},JESSICA HOLCOMBE FOR CONGRESS,C00639799
H8CA01208,"WALTERS, MARTHA",DEM,CA,1,{2018},MARTY WALTERS FOR CONGRESS,C00639732
H8CA01216,"STORMENT, BRANDON",DEM,CA,1,{2018},BRANDON STORMENT FOR CONGRESS,C00647032
H8CA01224,"DUNCAN, DENNIS DEAN",DEM,CA,1,{2018},DENNIS DUNCAN FOR CONGRESS,C00635961
H8CA01240,"ELBINGER, LEWIS",GRE,CA,1,{2018},LEWIS ELBINGER FOR CONGRESS,C00664912
H8CA01257,"DENNEY, AUDREY L",DEM,CA,1,"{2018,2020}",AUDREY DENNEY FOR CONGRESS,C00664409
H8CA03170,"PUETT, KEVIN",DEM,CA,3,"{2018,2020}",PUETT FOR CONGRESS,C00673186
H8CA04186,"WILCOX, ROCHELLE LYN",DEM,CA,4,{2018},ROCHELLE WILCOX FOR CONGRESS,C00639906
H8CA04194,"BATESON, REGINA",DEM,CA,4,{2018},BATESON FOR CONGRESS,C00639211
H8CA04202,"CALDERON, ROZA I",DEM,CA,4,"{2018,2020}",ROZA CALDERON FOR CONGRESS 2018,C00640755
H8CA04210,"MORSE, JESSICA",DEM,CA,4,"{2018,2020}",JESSICA MORSE FOR CONGRESS,C00650408
H8CA04236,"WHITE, MITCHELL",REP,CA,4,"{2018,2020}",VOTE MITCHELL WHITE,C00666693
H8CA04244,"LAWTON, ROBERT",DEM,CA,4,{2018},LAWTON FOR CONGRESS 2018,C00673087
H8CA06090,"JEFFERSON, JRMAR",DEM,CA,6,"{2018,2020}",JEFFERSON FOR CONGRESS,C00684753
H8CA07056,"GRANT, ANDREW",REP,CA,7,"{2018,2020}",ANDREW GRANT FOR CONGRESS,C00649400
H8CA07064,"WESTMORELAND, BRAD",DEM,CA,7,{2018},BRAD WESTMORELAND FOR CONGRESS,C00653097
H8CA07072,"BARASH, YONA",REP,CA,7,{2018},YONA BARASH FOR CONGRESS,C00655191
H8CA07080,"RICHARDSON, ROBERT CHRISTIAN",GRE,CA,7,"{2018,2020}",RICHARDSON4CONGRESS2018,C00664946
H8CA08096,"O'DONNELL, RONALD",DEM,CA,8,"{2018,2020}",ODONNELL4CALIFORNIA 2018,C00636274
H8CA08104,"BROWN, YOLANDA",DEM,CA,8,{2018},YOLANDA BROWN FOR CONGRESS,C00654905
H8CA08112,"DOYLE, MARGE",DEM,CA,8,"{2018,2020}",MARGE DOYLE FOR CONGRESS,C00657122
H8CA08120,"DONNELLY, TIMOTHY M.",REP,CA,8,"{2018,2020}",TIM DONNELLY FOR CONGRESS,C00658021
H8CA09144,"LIVENGOOD, MARLA",REP,CA,9,"{2018,2020}",MARLA LIVENGOOD FOC CONGRESS,C00660852
H8CA10100,"BEDOLLA, MATEO MORELOS",DEM,CA,10,{2018},MATEO M. BEDOLLA FOR CONGRESS,C00638569
H8CA10118,"NYGARD, DOROTHY (DOTTY)",DEM,CA,10,{2018},DOTTY NYGARD FOR CONGRESS,C00638783
H8CA10126,"HARDER, JOSH",DEM,CA,10,"{2018,2020}",JOSH HARDER FOR CONGRESS,C00639146
H8CA10134,"BATTISTA, LISA",DEM,CA,10,"{2018,2020}",LISA BATTISTA FOR CONGRESS,C00641092
H8CA10142,"SNOVER, TERRA EVA",IND,CA,10,"{2018,2020}",VOTE TERRA SNOVER,C00647156
H8CA10159,"VAUGHN, SETH MICHAEL",DEM,CA,10,{2018},SETH VAUGHN FOR CONGRESS,C00648592
H8CA10167,"COX, TERRANCE JOHN (TJ)",DEM,CA,21,"{2018,2020}",TJ COX FOR CONGRESS,C00648956
H8CA10175,"MADUENO, VIRGINIA",DEM,CA,10,"{2018,2020}",VIRGINIA FOR CONGRESS,C00653576
H8CA10183,"ZWAHLEN, SUE",DEM,CA,10,{2018},SUE ZWAHLEN FOR CONGRESS,C00653840
